"entidad";"jurisdiccion";"municipio";"localidad";"consultorios";"camas_censables";"camas_no_censables";"mdc_gral_esp_odon";"per_medico_en_adiestramiento";"medicos_en_otras_act";"per_de_enfermeria_en_contacto_c_paciente";"per_de_enfermerica_en_otras_labores";"otro_per_prof";"per_tec";"otro_per"
"VERACRUZ DE IGNACIO DE LA LLAVE";"ORIZABA";"ZONGOLICA";"TEHUILANGO";3;0;0;2;0;0;1;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"ORIZABA";"ZONGOLICA";"LA CONCEPCION";3;0;0;2;1;0;3;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"POZA RICA";"ZONTECOMATLAN DE LOPEZ Y FUENTES";"ZONTECOMATLAN DE LOPEZ Y FUENTES";3;0;0;2;0;0;2;0;0;1;2
"VERACRUZ DE IGNACIO DE LA LLAVE";"POZA RICA";"ZONTECOMATLAN DE LOPEZ Y FUENTES";"ZACAMOLA";2;0;0;1;0;0;1;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"POZA RICA";"ZOZOCOLCO DE HIDALGO";"ZOZOCOLCO DE HIDALGO";3;0;0;3;0;0;4;0;0;3;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"POZA RICA";"ZOZOCOLCO DE HIDALGO";"ANAYAL NUMERO DOS";2;0;0;3;0;0;1;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"COATZACOALCOS";"AGUA DULCE";"AGUA DULCE";7;0;0;8;0;0;11;0;2;6;1
"VERACRUZ DE IGNACIO DE LA LLAVE";"COATZACOALCOS";"AGUA DULCE";"LOS MANANTIALES";2;0;0;0;0;0;1;0;0;1;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"PANUCO";"EL HIGO";"EL HIGO";4;0;0;3;0;1;5;0;0;2;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"PANUCO";"EL HIGO";"BELLAVISTA (PALMIRA)";2;0;0;1;0;0;1;0;0;0;0
"VERACRUZ DE IGNACIO DE LA LLAVE";"PANUCO";"EL HIGO";"RANCHO ALEGRE";2;0;0;1;0;0;3;0;0;1;0
